id,inic,fin,tipo,tret,pri,QT1,QT2,QT3,QT4,VA_min,VA_max
DRP10,24,20,RIE_1,0.10,2,0.11,0.11,0.11,0.11,0.1,0.3
DRP11,44,49,RIE_1,0.10,2,5.90,5.90,5.90,5.90,0.1,0.3
DRP12,27,6,RIE_1,0.10,2,0.12,0.12,0.12,0.12,0.1,0.3
DRP13,70,64,RIE_1,0.10,2,0.15,0.15,0.15,0.15,0.1,0.3
DRP14,37,38,RIE_1,0.10,2,0.12,0.12,0.12,0.12,0.1,0.3
DRP15,34,19,RIE_1,0.10,2,0.15,0.15,0.15,0.15,0.1,0.3
DRP16,51,49,RIE_1,0.10,2,1.30,1.30,1.30,1.30,0.1,0.3
DRP17,14,10,RIE_1,0.10,2,0.18,0.18,0.18,0.18,0.1,0.3
DRP18,65,44,RIE_1,0.10,2,0.11,0.11,0.11,0.11,0.1,0.3
DRP19,74,59,RIE_1,0.10,2,0.15,0.15,0.15,0.15,0.1,0.3
DRP2,6,26,RIE_1,0.10,2,0.20,0.20,0.20,0.20,0.1,0.3
DRP20,67,72,RIE_1,0.10,2,0.70,0.70,0.70,0.70,0.1,0.3
DRP21,37,38,RIE_1,0.10,2,0.11,0.11,0.11,0.11,0.1,0.3
DRP22,37,38,RIE_1,0.10,2,0.27,0.27,0.27,0.27,0.1,0.3
DRP23,60,59,RIE_1,0.10,2,0.18,0.18,0.18,0.18,0.1,0.3
DRP24,70,64,RIE_1,0.10,2,0.40,0.40,0.40,0.40,0.1,0.3
DRP25,70,64,RIE_1,0.10,2,0.29,0.29,0.29,0.29,0.1,0.3
DRP26,46,45,RIE_1,0.10,2,0.31,0.31,0.31,0.31,0.1,0.3
DRP27,34,19,RIE_1,0.10,2,0.11,0.11,0.11,0.11,0.1,0.3
DRP3,27,6,RIE_1,0.10,2,0.22,0.22,0.22,0.22,0.1,0.3
DRP4,63,65,RIE_1,0.10,2,0.12,0.12,0.12,0.12,0.1,0.3
DRP5,28,30,RIE_1,0.10,2,0.16,0.16,0.16,0.16,0.1,0.3
DRP6,33,31,RIE_1,0.10,2,0.17,0.17,0.17,0.17,0.1,0.3
DRP7,51,49,RIE_1,0.10,2,0.11,0.11,0.11,0.11,0.1,0.3
DRP8,46,45,RIE_1,0.10,2,0.12,0.12,0.12,0.12,0.1,0.3
DRP9,72,31,RIE_1,0.10,2,0.35,0.35,0.35,0.35,0.1,0.3
DRP28,63,65,RIE_1,0.10,2,0.17,0.17,0.17,0.17,0.1,0.3
DRP29,36,38,RIE_1,0.10,2,0.10,0.10,0.10,0.10,0.1,0.3
DRP30,36,38,RIE_1,0.10,2,0.12,0.12,0.12,0.12,0.1,0.3
