,qinst,qinst_ac,qr,qsim,qsim_ac
180,1.5548087958542791,128.08693130971008,202.19420031566528,1.6589152997461414,154.49842782623827
181,1.5658567704709638,99.14957211193541,189.21464265747332,1.578630450291285,112.56445230563129
182,1.0665677893109418,84.54530296797456,175.0042455833939,1.3606204048345,90.57912526722279
183,0.6754996119185891,78.88295683305496,160.12057589596208,0.8429791408534508,81.32942662231065
184,0.49126520531252693,73.54396633296798,145.13870129660998,0.5733500796707666,76.54277704983924
185,0.3867895026179472,67.9188986223977,130.43591556942033,0.43485534727454006,70.49848890291362
186,0.3191997721419465,63.51793388241347,116.69711979467762,0.3508847196568408,65.76489417486944
187,0.2717452536965775,57.77615984084165,104.53655940171882,0.2942561136438778,60.761418958363805
188,0.23653755752804864,68.47723888900019,94.51902242264879,0.25337572978953504,60.84786984180003
189,0.2093472399990638,86.28272831378746,87.87200437750073,0.2224293235593937,77.92100311652865
190,0.18770574685880392,81.5372722473147,83.80587096761597,0.19816489131970874,86.5312776795328
191,0.17007025087290006,69.66994162663174,80.77203441033959,0.1786235365538276,74.8227745020593
192,0.1554151449076999,62.60901903854872,78.72273442976095,0.16254418146009442,66.04627796106402
193,0.14303649877445399,60.405137396323695,77.16606642615592,0.1490728480601088,60.89697178703681
194,0.13244289372551835,60.346936118006454,75.3859622541793,0.13761870703666237,60.50958096407597
195,0.12327832296204867,98.68977324600695,73.05027845614387,0.12776317955896535,73.9570890393276
196,0.11527064293945671,148.90383911216253,70.4201767778332,0.11919540791936835,126.43789133773896
197,0.10820980374806272,240.7481560170403,69.41267764769525,0.11167524915745508,187.2178722500988
198,0.13174626344074064,223.77721999597924,72.82405981982716,0.11691720202919358,251.80866456548753
199,0.14552937872757818,151.30444960340787,76.60328078538966,0.14080286772381093,182.44006183966275
200,0.14020114762233604,235.77499113982572,80.55975527905777,0.14395712214709688,174.32263177630801
201,0.1416056241560014,353.6363877547058,86.66758771171459,0.13980293760670073,305.7157368357763
202,0.18674033737801807,383.8506424180686,99.5872411520202,0.16018727326768922,371.1390602027933
203,0.200656762727335,343.4389894172726,116.10198120672169,0.19838542433480275,372.3227370710325
204,0.1902949650059032,306.03384121131177,133.17421210188658,0.19611549963925273,318.60125074806695
205,0.22895325626255447,344.02858444125826,151.75787233774128,0.20443328413008677,316.742329664303
206,0.26192555150387276,378.81780026918375,167.24757876743197,0.24801633446430218,370.30422107750826
207,0.41920270125319953,362.16764932332325,179.42995863703814,0.3270326853145304,370.8547855902558
208,0.6370803356413007,318.2334537723206,189.33058557116212,0.5272522527650888,343.7984899264556
209,0.659902046527826,253.2612918548037,196.51566861704055,0.6685068983444613,285.9674374130508
210,0.8807125918090015,212.0347231869439,201.0217081194457,0.7426137162175285,229.08034275989934
211,0.7328564579885606,344.9109439485572,204.32742199710134,0.8546553278780872,254.8242092308142
212,21.025906383960468,652.4308711091822,224.85561580077234,8.799325060653478,493.9706699979108
213,10.422695738647768,625.7355626936078,278.234966468701,19.643186611377384,688.2987395496822
214,1.747736130874439,442.5228391543626,302.7943108028587,4.378196916085817,521.3228450864464
215,0.8556511948314808,324.08578997278835,318.71492908101254,1.1755929661306908,382.6061473461046
216,0.6080090495287794,251.9320034575421,317.12452642611623,0.7155046321722611,282.0400032190182
217,0.6417443770377178,210.2433353887211,307.03545576078557,0.6027992491944406,231.48965499805075
218,0.6592578994275873,172.19259146279478,297.420804042645,0.6606582783789934,190.22385199688225
219,0.5325381807499496,153.58201189730644,289.9089620595777,0.6065244929483352,160.7329118850696
220,0.4232342779496349,141.79845764074005,283.2625518006926,0.4720283310193335,148.4897260853357
221,0.35418360303678603,125.24367629119374,276.5557579461873,0.38691010763042893,133.53788975865592
222,0.3079680439229048,146.27291837508508,269.9791557541385,0.3294670565805856,131.03316865923495
223,0.27026654954719564,142.44513000531606,264.7525066064162,0.2888795297552296,150.20890366219513
224,0.23584905551150284,115.54459337227908,259.51151658775797,0.2528183618902759,128.47269911568887
225,0.20761630761984876,128.52029848324568,254.3170348440343,0.22120133041485404,117.54364321265102
226,0.19585945962002055,115.88044080281728,249.73907600106673,0.2002812785019634,127.58241798909965
227,0.2021050038531881,88.52850416170654,244.45688770696592,0.19772878492851165,101.14504758955754
228,1.0233102623857124,82.66834657429655,238.91702444746485,0.5309981594196446,83.27050645029925
229,1.3968578396753764,82.15840344586707,234.60670946769304,1.2867696569440508,83.37439009783168
230,6.056826583008581,133.73759759168618,233.52747593307907,3.264934805992756,100.27831486799062
231,3.960725189393488,142.3767949174389,238.32357695968844,5.868442529325128,148.91317364694987
232,1.484491079994925,114.83162916932226,234.55655170041095,2.429147295734827,126.51696633415759
233,0.9043933842927303,92.33809766110885,225.85086677572187,1.1164712118037194,103.90702737987354
234,0.8228131388321958,76.67671241980209,212.3715129914589,0.8434188952579611,83.47143368707621
235,2.1882497203302322,92.0027938392916,198.24455186416694,1.3673820823633256,80.62518413223796
236,1.7305125629774485,98.61786388769195,187.40774827479095,2.196578948300739,99.41943912391758
237,1.1440573137874472,85.75093638694075,176.42477636503085,1.3587173472975211,91.92663218531604
238,2.614513888208218,93.17701932207419,167.1206136245718,1.702158676644891,86.76255742140336
239,2.0833767550879694,92.59815542688719,160.4430183166584,2.6191816780178647,95.93998101324574
240,1.2304823079068552,99.86432395159402,151.92147455951024,1.5850793769919456,92.69882732887068
241,1.0644868296246366,138.3214807485072,142.8335553689815,1.1059384432532235,117.34162335898733
242,1.2052980474924757,151.16036838484627,133.84405670498649,1.1199845220924147,150.10406787727004
243,0.9465071753495982,130.17616806513283,125.77193665169527,1.1219586245671007,141.2809586573188
244,0.6988438359169786,108.08592383891563,118.45816202060674,0.8037773232010637,118.80376704246673
245,0.5234337367137841,91.54815871308953,112.01235528859377,0.6111456374732118,99.27283406033392
246,0.39943854522536515,86.66513187305306,106.20910297297426,0.4562480148949457,87.95689057415974
247,0.3541090774414995,79.43112318876554,101.45585862787472,0.3708423556633313,84.01406597243209
248,0.30614002594237033,69.89295225581682,97.7123909283559,0.33268008982372266,74.37618648834848
249,0.28424375841954397,63.09097300742218,94.89989035286997,0.29157596301429883,66.31814897263035
250,0.28187890520629777,58.72711432253759,92.95531752428734,0.28248709333586847,60.69463209458904
251,0.2706555758436126,54.804044305622746,91.62598825604024,0.2773823022212579,56.8447249752016
