,area,area_ac,ce_ac,id,petmed,petmed_ac,precmed,precmed_ac,q20_ac,q50_ac,q80_ac,qmed,qmed_ac,qmed_ac_inst,qrmed_ac,smax,tau_tramos
0,7.9604,7.9604,0.5871323963616957,1,1054.846520112656,1054.846520112656,1523.9437284313115,1523.9437284313115,0.026877052019177165,0.07212245846672449,0.26431329077961474,0.22570225552385287,0.2257022555238526,0.22568985281911705,0.22570225552385287,121.28765591181153,0.8365971701999252
1,25.2904,3517.1312000000003,0.5301154641609054,2,1054.846520112656,888.5191510085945,1530.183389415863,1061.7906928536315,27.872135464039136,50.67192488619556,87.16008864267062,0.7317784720852868,62.732701410364385,62.73059980735242,62.77227649076445,104.4541921620652,0.5086191676018504
2,8.9115,8.9115,0.7696816285759946,3,799.1261516004972,799.1261516004972,2258.8421462805604,2258.8421462805604,0.06274297518461873,0.1803732962684815,0.6273874664126081,0.49095744173810923,0.49095744173810885,0.4909298906618449,0.49095744173810923,84.09800808788555,1.254838808688994
3,0.3186,160.8641,0.7153245015625653,4,799.1261516004972,799.126151600497,2177.062469187588,1930.883986529192,1.9146117066481796,3.991557892345027,10.116862041663822,0.01667828236755792,7.040677440975566,7.040309132960882,7.041167595340024,88.39288314266051,0.09581100448733024
4,0.8759,82.3415,0.6938731828663997,5,799.1261516004972,799.126151600497,2177.062469187588,1840.0959011144673,1.025619742088214,2.065216874583876,4.710952575093052,0.04582999982281976,3.331465867237083,3.331304718341987,3.33156340359259,92.72434533040166,0.31555887331527643
5,12.765,146.2827,0.6950425981834226,6,799.1261516004972,763.8898821133712,1330.8815009928614,1790.599658288963,1.9575906600592377,3.758362919026568,8.224041013770563,0.31268555352652927,5.768978502242951,5.7687107268268205,5.76975573606518,90.77869828438367,0.8982649684430887
6,23.4881,3548.5797,0.5309273152214175,7,1054.846520112656,889.9931904016704,1530.183389415863,1065.9277219643307,28.186414758643455,51.288836047343935,88.64438998958133,0.6791422611856481,63.63754592707389,63.63539476075048,63.67899158653052,105.84526002549892,0.3252653220750563
7,2.5515,3449.1096000000002,0.5305079155604734,8,1044.1915047579826,885.3709320659074,1137.0806591242458,1058.0411850885152,27.526790342666263,49.66720597894177,85.10623901611292,0.0419102766316994,61.34758476125748,61.345559472779975,61.384295816704274,121.22384486331147,0.1592214500714948
8,8.0992,8.0992,0.4569254030724514,9,1044.1915047579826,1044.1915047579826,1137.0806591242458,1137.0806591242458,0.030355758969120048,0.07315189977023549,0.17555341353618323,0.1333443849655457,0.13334438496554568,0.13333839910108386,0.1333443849655457,118.28504227302477,0.687699057058174
9,13.6798,3438.4589,0.5307537670324122,10,1044.1915047579826,884.8789819444236,1087.2199945067423,1057.7963586268372,27.47599566739926,49.45375920757496,84.8576086624187,0.21006880093253041,61.17233009966024,61.17031265060959,61.208158888766626,119.01445249506594,0.2007000820918357
10,42.7312,42.7312,0.4437920148716232,11,1044.1915047579826,1044.1915047579826,1087.2199945067423,1087.2199945067423,0.13554346849534954,0.3585340474110002,0.9138441761347273,0.6533381770216169,0.6533381770216148,0.6533020375790327,0.6533381770216169,124.35573767431275,2.8095008696379247
11,10.594,10.594,0.5875725844807624,12,1054.846520112656,1054.846520112656,1523.9437284313115,1523.9437284313115,0.03583386408169726,0.09764383025240458,0.3675994756542401,0.300598255853305,0.30059825585330396,0.3005817439899219,0.300598255853305,120.02865716725051,0.9534699937451109
12,43.739,43.739,0.6915938650578679,13,799.1261516004972,799.1261516004972,1838.906740538697,1838.906740538697,0.4473055973129346,0.9299761131953062,2.285654309265476,1.762689101503943,1.762689101503949,1.762592828159227,1.762689101503943,94.98221000601706,1.9542104890884788
13,72.9102,233.77429999999998,0.7243872745957499,14,799.1261516004972,799.1261516004972,2025.6713440838569,1960.4465397986585,2.5728740047968053,5.676403884066535,14.842273740175576,3.4793921910452363,10.520069632020808,10.519506781214965,10.522136005307143,91.08248915438733,2.201016304978306
14,37.7266,37.7266,0.6947431820896769,15,799.1261516004972,799.1261516004972,1833.6512089728058,1833.6512089728058,0.3643189361369895,0.8136550533987708,2.0585532589417843,1.5229467659103166,1.5229467659103142,1.5228845062204093,1.5229467659103166,83.058008738944,2.1910862936436857
15,16.523,119.637,0.7008053769496898,16,799.1261516004972,799.126151600497,2031.9249712417484,1867.1308888288243,1.4872958237835756,3.052308586882241,7.248342422688961,0.7904411771147254,4.960594599881566,4.9603446022742546,4.961016506630432,89.39074930139184,0.8276717528382709
16,31.997,31.997,0.7472313510539622,17,799.1261516004972,799.1261516004972,2075.4662206255002,2075.4662206255002,0.21762905074026812,0.5522610006318914,1.880062333162379,1.5724471169883336,1.572447116988332,1.5723573175936338,1.5724471169883336,93.11518571534288,1.0979180295736215
17,20.7725,20.7725,0.6912567482742458,18,799.1261516004972,799.126151600497,1843.215077885173,1843.215077885173,0.23027126936605716,0.496071958593173,1.1538963114068816,0.838687555529762,0.8386875555297609,0.8386438676043114,0.838687555529762,97.28775470455409,2.265005437679057
18,43.8011,2960.2392000000004,0.48634153471647495,19,976.8042414604308,892.8885046288436,1294.2517349104892,945.9569161985344,20.267417315363076,35.12695229296463,59.239157913290384,0.9078118943062007,43.15544070428982,43.154345056358174,43.17900149732795,114.10151158506184,1.2664337753747872
19,28.9838,117.5069,0.7058153669445338,20,755.2610114384778,755.2610114384776,1737.449816922769,1841.5659804183597,1.590240235182713,3.0847053381777947,6.766808934412634,1.1026243048101576,4.8399156756044,4.839687558685225,4.840242023935026,90.15633722265684,0.9860793682449616
20,0.3811,30.1339,0.43235073853692124,21,852.4012283738635,1010.2051672157608,1523.9437284313115,1040.0692937128604,0.09822036790351149,0.25588733723680485,0.5815747023252129,0.01194480661195749,0.4293879529486032,0.42936631862838914,0.4293888817266432,101.3143573397519,0.022232137850816874
21,29.7528,29.7528,0.42825943099613584,22,1012.2264586939627,1012.2264586939627,1033.871404873114,1033.871404873114,0.0943350250055299,0.24484906167402873,0.560853396884559,0.41744314633664487,0.4174431463366458,0.4174221774499273,0.41744314633664487,116.70166398440038,1.7256998950918245
22,27.883,27.883,0.7145397881854201,23,755.2610114384778,755.2610114384778,1894.062390378557,1894.062390378557,0.31376763504561694,0.6762437554910758,1.6190159236298518,1.1957936121434987,1.1957936121435018,1.195729587432602,1.1957936121434987,87.06512415036444,1.6356139193825152
23,60.6401,60.6401,0.7083452137260934,24,755.2610114384778,755.2610114384778,1867.1913448323915,1867.1913448323915,0.7333126673239784,1.4858982834482786,3.3756736626805086,2.5414977586507304,2.5414977586507383,2.541393774985463,2.5414977586507304,93.2843819959134,1.571670943456426
24,39.6401,91.893,0.3043973787488789,25,1037.5193928651954,1037.5193928651954,714.4929426830288,714.4929426830287,0.10278825578861536,0.2908694227157733,0.7795618419002777,0.2726608965214515,0.6333114131394484,0.6333371509195662,0.6333691084606788,115.38368908350672,3.8640411424235275
25,54.349,3160.8709000000003,0.5038138546573948,26,1033.5364894033094,889.3368918523344,1296.8130514437512,991.0790693819603,23.66202540617857,41.27998378853701,68.08516862950808,1.0883845072255294,50.0128037137583,50.011382400481835,50.045462153105845,115.07145242367623,1.9772870446591597
